text,label
Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,spam
"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.",ham
How come guoyang go n tell her? Then u told her?,ham
Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.,ham
"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",spam
Sitting in mu waiting for everyone to get out of my suite so I can take a shower,ham
Finish liao... U?,ham
"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",spam
"Probably not, still going over some stuff here",ham
Wah lucky man... Then can save money... Hee...,ham
Hey u still at the gym?,ham
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,ham
Ok lor...,ham
If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,ham
Stupid.its not possible,ham
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam
Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),ham
CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,spam
Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,ham
Where are you?when wil you reach here?,ham
Oh yeah! And my diet just flew out the window,ham
"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",ham
Sending you greetings of joy and happiness. Do have a gr8 evening,ham
Armand says get your ass over to epsilon,ham
Aiyah u did ok already lar. E nydc at wheellock?,ham
Don know..he is watching film in computer..,ham
No..but heard abt tat..,ham
Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,ham
Anytime lor...,ham
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,ham
Yar else i'll thk of all sorts of funny things.,ham
"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",ham
Those were my exact intentions,ham
"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",ham
Every day i use to sleep after  &lt;#&gt;  so only.,ham
"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",ham
Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,ham
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",spam
Its sarcasm.. .nt scarcasim,ham
Wherre's my boytoy ? :-(,ham
"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",ham
Prepare to be pleasured :),ham
I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),ham
"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",ham
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam
Oh that was a forwarded message. I thought you send that to me,ham
K..give back my thanks.,ham
Some of them told accenture is not confirm. Is it true.,ham
