turn1,turn2,turn3,label
Nice question.,:) what do you think?,That is also a nice question.,happy
I dont like you,really then what do u like ....?,nothing I hate everything,angry
age no you,When you're old enough to know better.,my call you number,others
Beach,YOU ALREADY KNOW,Are you single,others
I hate you darling,i know ;),you are too bad,angry
You brush your AI stupid brain first the software you use is useless,adobe illustrator and then lots of excel (since thts the format our page designers understand),U are really worthless programming,angry
I am asking you that am I rude???,are you still sore 😦,Kind off,angry
I miss you tooo,PLS meet soon!,Lief tiem my hurt you,sad
Damn Microsoft has a nice collection of jokes,One of the best oxymorons: Microsoft works,😂😂😂,happy
I am okk😖,that's gr8 yaa... :),😢😢,sad
Call na yrr,what???......,Whatever,others
Very bad,what thing very bad?,I am sick,sad
what,some kinda indigestion coupled with sinus ..,i dont under stand,others
Come with me,you'd have to wait some time then.,Haha,others
Ok,Ok thank you 😆😆,Where is the money,others
I want know,Do it !,Where u live in India,others
What did you like to do baby,What do you mean?,What should you like to do,others
Again i am proposing,"My apologies, i really need to read more carefully",I Love you baby,others
I m not ur bruv,I don't know you,Fuck off already,angry
What,you know well what you did !,What I did,others
i dont know,I can't help it,yeah i know,others
Ur soo nice,Thank you :-),U have bf...?,others
I feel somthing somthing,we all feel for feels,How feel you,others
Oops😂,oh I got a reply... am flying!!! 😜😁,I like brownish,happy
Ah..and so are you,"Ah, so you are. Knew it.",There is no one in my life,sad
Poor,"hey, i don't see you on this train, buddy.",Got break up,sad
tell me who iam,me.... Who doesn't,u are such a lame,angry
I am very much happy 😃,"Thank you, I'm enjoying it :)",Me too,happy
No we won't,yes we will,Let's do it,others
Nothing just relaxing,hows ur day?,Not good,sad
What did u cook,chicken wings,Is there something i can do for u,others
Hehe dont crack jokes,they are not joke. PJs they are. Sade hue pj.,Kkk,others
Do you know the meaning of AF,lol no... Nd i dnt wnt to knw evn...,No seriously I want to know it's meaning,others
What are your wierd dreams,Whatever their dreams are for themselves.,Oh so you don&apos;t want to share them with me,others
Hey I am a fan of badminton,"Well, I'm a fan of you.",❤️,happy
yeah because u make me angry,I figured that part out.,im done with ur bullshit!,angry
Soo what is the software using to you,I work for a software solution company called DeskGod,What software you use to run the server,others
Movie  I'm not fond of movies,You didn't tell me about ur movies apathy. 😠😡😡,Movies makes people  stupid,angry
Your typing is very fast and   what  chat in laptops,Try practicing in Typing Master application software.,I am want to typing master,others
Then how you doing,m doing vry well thanks hw about u ?,Great,others
I love her so much,for me ya :(,😭,sad
which moovie you see,the first time! Really good Movie!! 😊,name of moovie,others
i busy now,kk take ur time,tell me about your self..,others
I want to block u,you can't,Why,others
Time,14 minutes on the clock,According ur country,others
I want to know tell me,DID YOU LIKE MY STORY,Yeah i like it,happy
Wear glasses nd see 😂,I'm a genius. 💕😂😂,You can see clearly 😂,happy
I am jobless,same !,Even you are jobless,sad
I am in big trouble,how are you in trouble?,Getting thread calls everyday...,sad
Are u crazy 😂😂,😖🙂😒 I am not good friend 😏 only crazy 😝,Yeah off course u r a gd frnd,others
okay,Again angry or what?,see above stupid,angry
who's your favourite character,Robin williams' character.,I meant in game of thrones,others
#juniordoctorsam,Not the medical kind!,Then what do u want?,others
I don't no,"oh then I don’t know you, carry on",Sorry,others
Life is sad,so sad man,Lost,sad
what,what what what what what,?????,others
Wish u were really my Afshi asking me this,"If you were really mine, you wouldn't ask...",I'm coming next week,others
Cz I’m very annoyed,Same same,Ok,angry
I am angry,Why? Why? Why? :(,I had a fight with my best friend,angry
Shut up,"and whats with all the ""i hate the full stop, i hate that"" 😡",Don't text me,angry
Make me sad,The world is sad. I'm just aware of it. :'(,I dont want you i hate you,angry
U learn to fart,Not necessarily....,😂😂,happy
so go to bed,After u 'Just go to bed,you are irritating me,angry
You so funny,what i do,How would I know,others
Anyway,what are you twelve?,What u say,others
You’re welcome,thanks 4 thanking 4 thank,Haha,happy
No no bus,no no no ;u; you're,U broke my heart,sad
I am not.,I haven't gone for a while.,Surprise!,others
Wow,So much wow.,Which type of dress u like?,others
So what you think about asifa news,the star news it's good because of daily news..,I hate all the news channel in India,angry
Get lost buddy.....wtf,"yeah, we lost by four wickets :(",cool,others
You are funny that's the grim,the funny thing is that im not 😆,😂,happy
Yes sure,thank youu 😌😌😌😌😌,U r mostly welcome,others
That I like to chill,just chill chill just chill... Just chill chill just chill :P,Ya best way ever 😂,happy
Ok,thanks for reply me ♡,Ok. .. Love you,others
I loved it alot,"it was well done I think, great effects",U made me to do so,happy
